,Umap1,Umap2,label,G
91,6.705495,10.838849,G,0
92,5.410841,8.497353,G,0
93,7.0774775,9.656838,G,0
94,3.730571,6.787203,G,0
95,5.976664,8.345574,G,0
96,5.470976,7.8085356,G,0
97,-0.7127613,3.8519788,G,0
98,6.6131663,9.446851,G,0
99,5.189112,8.967949,G,0
100,3.7179587,8.429901,G,0
101,7.129352,10.655195,G,0
102,1.1792623,6.0005655,G,0
103,4.7921524,8.753662,G,0
104,5.888523,9.133125,G,0
105,6.2203007,8.262119,G,0
106,5.982063,8.148308,G,0
107,5.9917593,8.745821,G,0
108,3.0040557,8.072777,G,0
109,5.8318768,8.6795,G,0
110,5.146312,8.514892,G,0
111,6.1989856,10.997086,G,0
112,6.940571,9.912173,G,0
113,3.2106068,7.3660955,G,0
114,3.0299335,7.5081487,G,0
115,4.7697935,7.0729465,G,0
116,4.330353,9.074386,G,0
117,4.048916,7.149099,G,0
118,4.0338016,6.1284738,G,0
119,4.872935,9.496623,G,0
120,6.905587,9.2932415,G,0
121,2.9836576,7.7295966,G,0
122,4.0972753,9.179605,G,0
123,6.552854,10.95546,G,0
124,5.0178905,10.499028,G,0
125,4.610385,8.721241,G,0
126,2.5267773,7.096121,G,0
127,5.4534,8.963706,G,0
128,2.6337214,8.081759,G,0
129,-0.5165444,3.571921,G,0
130,2.898189,7.79961,G,0
131,1.8286623,6.8291636,G,0
132,5.448816,8.635556,G,0
133,7.0594835,10.255678,G,0
134,6.03389,8.141812,G,0
135,4.968645,7.775865,G,0
136,3.6142356,9.058315,G,0
137,6.844984,10.244014,G,0
138,3.0628197,6.9964776,G,0
139,6.1620297,8.370099,G,0
140,2.4236934,6.2456117,G,0
141,-0.41153446,3.3923404,G,0
142,4.678394,8.004514,G,0
143,5.0836225,9.196771,G,0
144,4.420199,8.078872,G,0
145,4.2421403,8.9435425,G,0
146,6.154177,9.113336,G,0
147,4.914261,10.616881,G,0
148,7.4518147,10.2667,G,0
149,5.3541245,8.198762,G,0
150,5.8594,9.160198,G,0
151,6.1701927,10.652258,G,0
152,3.8952377,6.511785,G,0
153,5.4944425,9.857931,G,0
154,0.9260777,5.7446265,G,0
155,5.164337,9.465989,G,0
156,5.655043,9.029268,G,0
157,4.5397077,9.112777,G,0
158,3.1558542,6.85374,G,0
159,1.3839874,6.277242,G,0
160,1.8694956,7.337025,G,0
161,2.9503093,6.2650766,G,0
162,4.2429566,8.695881,G,0
163,2.8014402,6.5769215,G,0
164,4.591204,9.890198,G,0
165,4.856469,9.537868,G,0
