,x,variable,value,label
53083,83.16633266533066,106,0.5365,mod
53084,84.16833667334669,106,0.555,mod
53085,85.17034068136272,106,0.5735,mod
53086,86.17234468937875,106,0.592,mod
53087,87.17434869739478,106,0.6105,mod
53088,88.1763527054108,106,0.629,mod
53089,89.17835671342685,106,0.6475,mod
53090,90.18036072144288,106,0.666,mod
53091,91.18236472945891,106,0.6342,mod
53092,92.18436873747494,106,0.6024,mod
53093,93.18637274549097,106,0.5706,mod
53094,94.188376753507,106,0.5388,mod
53095,95.19038076152303,106,0.5071,mod
53096,96.19238476953907,106,0.4753,mod
53097,97.1943887775551,106,0.4435,mod
53098,98.19639278557113,106,0.4117,mod
53099,99.19839679358716,106,0.3799,mod
53100,100.2004008016032,106,-0.9904,mod
53101,101.20240480961922,106,-0.9633,mod
53102,102.20440881763525,106,-0.9158,mod
53103,103.20641282565128,106,-1.0009,mod
53104,104.20841683366733,106,-0.9901,mod
53105,105.21042084168336,106,-0.8379,mod
53106,106.21242484969939,106,-0.6278,mod
53107,107.21442885771542,106,-0.7769,mod
53108,108.21643286573145,106,-0.7995,mod
53109,109.21843687374748,106,-0.8026,mod
53110,110.22044088176351,106,-0.8093,mod
53111,111.22244488977955,106,-0.7561,mod
53112,112.22444889779558,106,-0.8046,mod
53113,113.22645290581161,106,-0.7762,mod
53114,114.22845691382764,106,-0.8079,mod
53115,115.23046092184367,106,-0.7187,mod
53116,116.2324649298597,106,-0.7348,mod
53117,117.23446893787573,106,-0.7679,mod
53118,118.23647294589178,106,-0.8037,mod
53119,119.2384769539078,106,-0.7781,mod
53120,120.24048096192384,106,-0.8144,mod
53121,121.24248496993987,106,-0.7709,mod
53122,122.2444889779559,106,-0.8154,mod
53123,123.24649298597193,106,-0.8068,mod
53124,124.24849699398796,106,-0.7899,mod
53125,125.250501002004,106,-0.829,mod
53126,126.25250501002003,106,-0.7503,mod
53127,127.25450901803606,106,-0.7715,mod
53128,128.2565130260521,106,-0.7569,mod
53129,129.25851703406812,106,-0.7898,mod
53130,130.26052104208415,106,-0.6763,mod
53131,131.26252505010018,106,-0.779,mod
53132,132.2645290581162,106,-0.8049,mod
53133,133.26653306613224,106,-0.804,mod
53134,134.26853707414827,106,-0.7598,mod
53135,135.2705410821643,106,-0.7887,mod
53136,136.27254509018036,106,-0.7785,mod
53137,137.2745490981964,106,-0.6643,mod
53138,138.27655310621242,106,-0.8107,mod
53139,139.27855711422845,106,-0.748,mod
53140,140.28056112224448,106,-0.7946,mod
53141,141.2825651302605,106,-0.7581,mod
53142,142.28456913827654,106,-0.6782,mod
53143,143.28657314629257,106,-0.7607,mod
53144,144.2885771543086,106,-0.7418,mod
53145,145.29058116232463,106,-0.8355,mod
53146,146.29258517034066,106,-0.7563,mod
53147,147.2945891783567,106,-0.7645,mod
53148,148.29659318637272,106,-0.73,mod
53149,149.29859719438875,106,-0.7948,mod
53150,150.3006012024048,106,-0.7819,mod
53151,151.30260521042084,106,-0.7764,mod
53152,152.30460921843687,106,-0.7493,mod
53153,153.3066132264529,106,-0.7814,mod
53154,154.30861723446893,106,-0.8371,mod
53155,155.31062124248496,106,-0.8196,mod
53156,156.312625250501,106,-0.7888,mod
53157,157.31462925851702,106,-0.7577,mod
53158,158.31663326653305,106,-0.7152,mod
53159,159.31863727454908,106,-0.813,mod
53160,160.3206412825651,106,-0.7993,mod
53161,161.32264529058114,106,-0.8079,mod
53162,162.32464929859717,106,-0.7915,mod
53163,163.3266533066132,106,-0.7319,mod
53164,164.32865731462925,106,-0.7838,mod
53165,165.33066132264528,106,-0.8044,mod
53166,166.3326653306613,106,-0.7257,mod
53167,167.33466933867734,106,-0.7681,mod
53168,168.33667334669337,106,-0.7967,mod
53169,169.3386773547094,106,-0.7706,mod
53170,170.34068136272543,106,-0.7697,mod
53171,171.34268537074146,106,-0.8895,mod
53172,172.3446893787575,106,-0.796,mod
53173,173.34669338677352,106,-0.8262,mod
53174,174.34869739478955,106,-0.7619,mod
53175,175.35070140280558,106,-1.0132,mod
53176,176.3527054108216,106,-0.9453,mod
53177,177.35470941883764,106,-0.9724,mod
53178,178.3567134268537,106,-0.8954,mod
53179,179.35871743486973,106,-0.8904,mod
53180,180.36072144288576,106,-0.7115,mod
53181,181.3627254509018,106,-0.763,mod
53182,182.36472945891782,106,-0.7804,mod
53183,183.36673346693385,106,-0.7216,mod
53184,184.36873747494988,106,-0.8048,mod
53185,185.3707414829659,106,-0.7531,mod
53186,186.37274549098194,106,-0.7215,mod
53187,187.37474949899797,106,-0.7207,mod
53188,188.376753507014,106,-0.7935,mod
53189,189.37875751503003,106,-0.7582,mod
53190,190.38076152304606,106,-0.7684,mod
53191,191.3827655310621,106,-0.7962,mod
53192,192.38476953907815,106,-0.8087,mod
53193,193.38677354709418,106,-0.8747,mod
53194,194.3887775551102,106,-0.7796,mod
53195,195.39078156312624,106,-0.8378,mod
53196,196.39278557114227,106,-0.8101,mod
53197,197.3947895791583,106,-0.8565,mod
53198,198.39679358717433,106,-0.8222,mod
53199,199.39879759519036,106,-0.8111,mod
53200,200.4008016032064,106,-0.7684,mod
53201,201.40280561122242,106,-0.7636,mod
53202,202.40480961923845,106,-0.7587,mod
53203,203.40681362725448,106,-0.7539,mod
53204,204.4088176352705,106,-0.7491,mod
53205,205.41082164328654,106,-0.7443,mod
53206,206.41282565130257,106,-0.7394,mod
53207,207.41482965931863,106,-0.7346,mod
53208,208.41683366733466,106,-0.75,mod
53209,209.4188376753507,106,-0.7669,mod
53210,210.42084168336672,106,-0.7838,mod
53211,211.42284569138275,106,-0.8007,mod
53212,212.42484969939878,106,-0.8176,mod
53213,213.4268537074148,106,-0.8345,mod
53214,214.42885771543084,106,-0.8514,mod
53215,215.43086172344687,106,-0.8388,mod
53216,216.4328657314629,106,-0.8213,mod
53217,217.43486973947893,106,-0.8038,mod
53218,218.43687374749496,106,-0.7863,mod
53219,219.438877755511,106,-0.7688,mod
53220,220.44088176352702,106,-0.7512,mod
53221,221.44288577154308,106,-0.7337,mod
53222,222.4448897795591,106,-0.7376,mod
53223,223.44689378757514,106,-0.7472,mod
53224,224.44889779559117,106,-0.7569,mod
53225,225.4509018036072,106,-0.7666,mod
53226,226.45290581162322,106,-0.7762,mod
53227,227.45490981963925,106,-0.7859,mod
53228,228.45691382765528,106,-0.7955,mod
53229,229.45891783567131,106,-0.7897,mod
53230,230.46092184368734,106,-0.7776,mod
