,quality,modification
126,14.716814159292035,unmod
127,18.069767441860463,unmod
128,16.694267515923563,unmod
129,13.00333333333333,unmod
130,19.250936329588015,unmod
131,19.257936507936506,unmod
132,16.793281653746767,unmod
133,18.871538461538464,unmod
134,18.137500000000003,unmod
135,20.495798319327733,unmod
136,20.9122085048011,unmod
137,18.056497175141246,unmod
138,15.873626373626372,unmod
139,20.786721991701242,unmod
140,12.355392156862742,unmod
141,17.397148676171078,unmod
142,18.02416918429003,unmod
143,22.50890782339272,unmod
144,19.052453468697124,unmod
145,21.393356643356647,unmod
146,17.645412130637638,unmod
147,17.404558404558408,unmod
148,21.54189944134078,unmod
149,21.80724637681159,unmod
150,20.191811978771796,unmod
151,16.647840531561464,unmod
152,14.480603448275865,unmod
153,16.836936936936937,unmod
154,14.771428571428572,unmod
155,19.060889929742387,unmod
156,20.408178438661707,unmod
157,19.383124287343215,unmod
158,18.241869918699187,unmod
159,19.89935064935065,unmod
160,20.476858345021036,unmod
161,17.13123844731978,unmod
162,19.70967741935484,unmod
163,19.209132420091322,unmod
164,17.09748427672956,unmod
165,19.530405405405403,unmod
166,19.71369294605809,unmod
167,18.389805097451273,unmod
168,18.11325301204819,unmod
169,19.418604651162788,unmod
170,9.776315789473685,unmod
171,19.956696878147028,unmod
172,19.62399355877617,unmod
173,18.46153846153846,unmod
174,17.44736842105263,unmod
175,15.46948356807512,unmod
176,18.415750915750912,unmod
177,11.966386554621849,unmod
178,19.134831460674157,unmod
179,20.097468354430383,unmod
180,15.482300884955755,unmod
181,15.611979166666664,unmod
182,18.783659378596084,unmod
183,20.63818321785989,unmod
184,16.94195250659631,unmod
185,20.21833648393195,unmod
186,17.46894409937888,unmod
187,18.776371308016877,unmod
188,18.774346793349167,unmod
189,12.311212814645309,unmod
190,19.19042056074766,unmod
191,17.89774436090226,unmod
192,11.443902439024392,unmod
193,21.425855513307987,unmod
194,20.13740458015267,unmod
195,19.400662251655632,unmod
196,17.721739130434784,unmod
197,19.61467889908257,unmod
198,18.973431734317344,unmod
199,12.395522388059703,unmod
200,13.378531073446325,unmod
201,19.91988950276243,unmod
202,18.738247863247864,unmod
203,17.956777996070727,unmod
204,18.75716234652115,unmod
205,20.417582417582416,unmod
206,9.663690476190474,unmod
207,20.286347517730498,unmod
208,16.50187265917603,unmod
209,17.098958333333336,unmod
210,18.61279069767442,unmod
211,10.074468085106382,unmod
212,12.627358490566039,unmod
213,19.901134521880067,unmod
214,18.350427350427353,unmod
215,19.141876430205947,unmod
216,14.041871921182263,unmod
217,13.027508090614887,unmod
218,18.02834008097166,unmod
219,15.5,unmod
220,17.590047393364927,unmod
221,17.53921568627451,unmod
222,18.548192771084338,unmod
223,18.513745704467354,unmod
224,18.715025906735754,unmod
225,21.01366742596811,unmod
226,19.628930817610062,unmod
227,15.388059701492537,unmod
228,17.933726067746683,unmod
229,16.75456389452333,unmod
230,19.218680504077092,unmod
231,19.446168768186226,unmod
232,7.790499390986604,unmod
233,18.37015503875969,unmod
234,17.712103407755585,unmod
235,17.29032258064516,unmod
236,16.817351598173516,unmod
237,9.255255255255257,unmod
238,19.83030303030303,unmod
239,18.205633802816898,unmod
240,12.200488997555013,unmod
241,12.513846153846153,unmod
242,16.649068322981364,unmod
243,16.681071737251514,unmod
244,20.18279569892473,unmod
245,15.321022727272727,unmod
246,15.556074766355138,unmod
247,12.43292682926829,unmod
248,15.427807486631018,unmod
249,17.005000000000003,unmod
250,14.696821515892424,unmod
251,19.47463768115942,unmod
252,18.86239495798319,unmod
253,14.575221238938056,unmod
254,17.426940639269404,unmod
255,14.750830564784053,unmod
256,16.42081447963801,unmod
257,11.605673758865251,unmod
258,17.879012345679016,unmod
259,17.852564102564102,unmod
260,19.679904686258936,unmod
261,17.605664488017432,unmod
262,17.860915492957744,unmod
263,20.851664984863774,unmod
264,15.53156146179402,unmod
265,19.56230031948882,unmod
266,19.515601783060923,unmod
267,12.827004219409282,unmod
268,17.386590584878746,unmod
269,9.096446700507613,unmod
270,20.366197183098592,unmod
271,14.567049808429118,unmod
272,16.96694214876033,unmod
273,20.201337295690934,unmod
274,13.186666666666667,unmod
275,14.509009009009006,unmod
276,15.362776025236592,unmod
277,19.827721221613153,unmod
278,17.866459627329192,unmod
279,15.613114754098362,unmod
280,15.490196078431374,unmod
281,19.10727969348659,unmod
282,15.60769230769231,unmod
283,16.464028776978417,unmod
284,12.536977491961416,unmod
285,19.29002320185615,unmod
286,19.865764828303853,unmod
287,17.420915032679737,unmod
288,20.316770186335404,unmod
289,21.487695749440718,unmod
290,18.993548387096773,unmod
291,11.15822784810127,unmod
292,18.226734348561763,unmod
293,18.392156862745097,unmod
294,18.47854077253219,unmod
295,14.190594059405939,unmod
296,15.40706319702602,unmod
297,16.42857142857143,unmod
298,19.53178294573643,unmod
299,19.384615384615387,unmod
300,19.061904761904763,unmod
301,19.284653465346537,unmod
302,16.703812316715542,unmod
303,18.125645438898452,unmod
304,17.836619718309862,unmod
305,21.251285819250548,unmod
306,9.642857142857146,unmod
307,15.006355932203391,unmod
308,17.5010768126346,unmod
309,19.037667071688944,unmod
310,18.731250000000003,unmod
311,16.523391812865498,unmod
312,9.9063670411985,unmod
313,20.444186046511625,unmod
314,18.75124378109453,unmod
315,19.108391608391607,unmod
316,19.112570356472794,unmod
317,20.13355408388521,unmod
318,20.245575221238937,unmod
319,19.31054131054131,unmod
320,7.509881422924899,unmod
321,18.954724409448822,unmod
322,15.704607046070464,unmod
323,21.74433656957929,unmod
324,16.37231057062675,unmod
325,17.51653944020356,unmod
326,17.529605263157897,unmod
327,18.69135802469136,unmod
328,18.50377358490566,unmod
329,16.799595141700408,unmod
330,19.188802083333336,unmod
331,11.051388888888887,unmod
332,14.268041237113401,unmod
333,12.202531645569621,unmod
334,20.70175438596491,unmod
335,18.732142857142854,unmod
336,17.05808080808081,unmod
337,15.784403669724767,unmod
338,14.612612612612615,unmod
339,18.398000000000003,unmod
340,20.072319201995015,unmod
341,21.107491856677527,unmod
342,8.785087719298247,unmod
343,20.658783783783782,unmod
344,9.204545454545453,unmod
345,19.265227447956825,unmod
346,17.281995661605208,unmod
347,19.549356223175963,unmod
348,17.890410958904113,unmod
349,15.936186186186184,unmod
350,11.36335403726708,unmod
351,15.883177570093459,unmod
352,17.251358695652172,unmod
