,Umap1,Umap2,label,A
143,-1.6901455,0.35901117,U,0
144,0.58958715,-0.2524417,U,0
145,-0.77031034,-0.7274489,U,0
146,-1.1476452,-0.6595259,U,0
147,-0.46610835,-0.45271084,U,0
148,-4.5697703,0.2980772,U,0
149,-1.2008544,-0.61858374,U,0
150,-3.7720165,-0.8675512,U,0
151,-2.4298766,-0.9930494,U,0
152,-1.4899039,1.0286384,U,0
153,-1.7292967,-0.40292537,U,0
154,-1.6127248,0.97995836,U,0
155,-2.4954038,-0.58629996,U,0
156,-5.714452,-0.24911287,U,0
157,-0.48839027,0.25523165,U,0
158,-1.0793085,-0.90825725,U,0
159,-1.9065672,-0.22590327,U,0
160,-2.1060624,-0.26850834,U,0
161,-4.87256,-0.38045165,U,0
162,-2.5181506,-0.20376976,U,0
163,-2.4433503,-0.6151677,U,0
164,-1.4394369,0.8748616,U,0
165,0.85719264,-0.18031994,U,0
166,-5.0026913,-0.85878104,U,0
167,-0.71212226,-0.112987824,U,0
168,-5.0933013,0.113127835,U,0
169,-1.0750225,-0.44709787,U,0
170,-4.0153904,-1.1364901,U,0
171,-5.96321,-0.007007492,U,0
172,-4.8667436,0.7278938,U,0
173,-2.1647928,-0.87205994,U,0
174,0.86413234,-0.6976138,U,0
175,-2.2775257,-1.1581767,U,0
176,-3.908594,-0.66289353,U,0
177,-4.1429496,-1.025172,U,0
178,-5.508759,0.054335225,U,0
179,-5.370313,-0.2098687,U,0
180,-5.18884,-0.31691715,U,0
181,-2.9846854,-0.08850786,U,0
182,-2.347159,-0.7658023,U,0
183,-5.3082976,-0.048302166,U,0
184,-5.1809735,-0.8024625,U,0
185,-2.3195,-0.5370225,U,0
186,-1.7479272,0.8229999,U,0
187,-5.742956,-0.2412139,U,0
188,-2.2020931,-0.28971452,U,0
189,-4.8684907,-0.95961446,U,0
190,-4.426349,-0.09111868,U,0
191,0.7624256,-0.5054118,U,0
192,-3.518844,-0.62208426,U,0
193,-2.648839,-0.89564574,U,0
194,-2.856735,-0.80418026,U,0
195,-2.7798944,-0.90609914,U,0
196,-5.193411,-0.33222982,U,0
197,-3.331888,-0.9323182,U,0
198,-4.886957,-0.8192713,U,0
199,-0.6966892,0.5460574,U,0
200,-1.1990776,0.77820104,U,0
201,-5.022731,0.7309571,U,0
202,-4.0559707,-0.42949575,U,0
203,-5.549004,0.13782212,U,0
204,0.49927443,-0.56972724,U,0
205,-2.0102353,-1.3036499,U,0
206,-3.8673062,-0.2620625,U,0
207,-3.3448644,-0.9067842,U,0
208,-0.94636476,-0.66541755,U,0
209,-2.5490513,-0.6553702,U,0
210,-3.1079626,-0.94247234,U,0
211,-1.6736555,-0.83984405,U,0
212,-1.2881101,-0.12886237,U,0
213,-4.177875,-0.8165355,U,0
214,-0.4344294,-0.844288,U,0
215,-3.1137338,-0.4201014,U,0
216,-3.5147893,-0.23187822,U,0
217,-1.6130313,-0.13902655,U,0
218,2.3216565,0.40499538,U,0
219,-5.4774156,-0.11977009,U,0
220,-2.534991,-1.150639,U,0
221,-4.408857,-0.62877893,U,0
222,0.22034544,-0.12257756,U,0
223,-2.6684675,-1.0367785,U,0
224,-1.7443578,-0.44207597,U,0
225,-4.957119,-0.39226708,U,0
226,-3.854393,-0.25622675,U,0
