,Umap1,Umap2,label,A
80,0.5113249,3.6258328,C,0
81,1.1495272,4.1916456,C,0
82,3.8014202,3.5242698,C,0
83,0.63981026,3.2691503,C,0
84,2.4434316,3.8683481,C,0
85,4.3614383,3.8807085,C,0
86,1.2691059,4.1673703,C,0
87,0.7757006,4.5607805,C,0
88,-1.4129347,3.9756129,C,0
89,1.9346093,4.5259295,C,0
90,2.1569562,3.5736098,C,0
91,-0.35961393,3.7659361,C,0
92,4.0142164,3.726961,C,0
93,2.2339396,3.4332454,C,0
94,3.8459816,4.2474813,C,0
95,-2.4074464,4.7330174,C,0
96,0.90673065,4.2657495,C,0
97,5.753872,9.519164,C,0
98,1.5827937,2.4745202,C,0
99,6.309691,8.924487,C,0
100,0.8315273,3.4608629,C,0
101,3.7483058,4.271893,C,0
102,-4.661238,4.5054407,C,0
103,2.78207,4.160957,C,0
104,7.006259,9.8892145,C,0
105,0.6669143,3.982244,C,0
106,4.3081603,9.290306,C,0
107,0.68540365,3.7401633,C,0
108,0.688193,4.177119,C,0
109,7.3883805,10.028229,C,0
110,3.6114678,4.3404837,C,0
111,3.040225,4.336924,C,0
112,5.5543747,9.419336,C,0
113,4.095807,9.768833,C,0
114,2.1868122,2.779217,C,0
115,4.200591,3.9530756,C,0
116,-0.46858364,3.8468401,C,0
117,5.963194,9.532688,C,0
118,0.8784709,5.332076,C,0
119,7.9646177,10.325537,C,0
120,-1.4362717,4.6625514,C,0
121,5.779934,9.437492,C,0
122,4.332766,3.9026434,C,0
123,3.5032947,4.306226,C,0
124,0.072601326,4.114093,C,0
125,-2.1792963,4.142964,C,0
126,4.2637935,3.9888883,C,0
127,-0.28348994,3.8269486,C,0
128,3.1387908,4.0264006,C,0
129,-2.4758816,4.82113,C,0
130,1.3527094,4.8557673,C,0
131,3.4311528,4.0606637,C,0
132,-3.0524545,4.569624,C,0
133,3.2399368,4.575517,C,0
134,1.263578,3.549483,C,0
135,-2.7244775,4.1887274,C,0
136,-2.775996,4.11909,C,0
137,2.8364902,4.0566907,C,0
138,1.5414534,4.2165036,C,0
139,3.075467,4.4234996,C,0
140,1.2900969,2.5453005,C,0
141,1.9339298,3.9506366,C,0
142,3.40029,4.0148764,C,0
143,3.9019403,4.245335,C,0
144,2.3001688,3.8588321,C,0
145,2.0721812,3.7656012,C,0
146,7.0737133,10.093066,C,0
147,3.542738,4.086899,C,0
148,0.94278705,4.581313,C,0
149,-3.0149524,4.342764,C,0
150,-0.1570135,4.4515085,C,0
151,1.9173653,3.4066064,C,0
152,1.2220131,5.1453953,C,0
153,1.1363829,3.873086,C,0
154,4.4838266,9.475316,C,0
155,-1.1528227,4.5138597,C,0
156,-4.660246,4.54804,C,0
157,3.63564,3.5697205,C,0
158,2.1268103,3.665469,C,0
159,3.6541846,3.4783769,C,0
160,3.238361,3.9199982,C,0
161,-1.1932176,4.595608,C,0
162,3.7257946,3.7412326,C,0
163,-2.6907961,4.5345206,C,0
164,3.8723617,3.7977848,C,0
165,-3.70113,4.5019283,C,0
166,3.8538928,4.193784,C,0
167,5.740593,8.650168,C,0
168,6.5877037,9.187321,C,0
169,3.8271103,3.6668556,C,0
170,6.088642,9.523598,C,0
171,0.9689476,4.3573523,C,0
172,4.1800094,4.0901184,C,0
173,0.5812994,3.6733534,C,0
174,2.0771387,3.8934505,C,0
175,3.9015927,3.7075365,C,0
176,-3.2340024,5.050685,C,0
177,3.5815153,3.397947,C,0
178,5.4159913,9.356549,C,0
179,-3.1267111,4.9580693,C,0
180,0.90250695,3.051711,C,0
181,0.16721788,3.705098,C,0
182,-0.68688273,4.447163,C,0
183,7.251401,9.899696,C,0
184,4.2796583,10.069373,C,0
185,-0.8498063,3.9258254,C,0
186,1.4209394,3.6460884,C,0
187,5.478137,8.490668,C,0
188,-0.66909194,3.9484992,C,0
189,0.31226802,3.3613493,C,0
190,-1.3914943,3.7424078,C,0
191,7.645333,10.130775,C,0
192,-1.621912,4.5479465,C,0
193,-2.5465043,4.174584,C,0
194,-3.2046115,4.403088,C,0
195,4.084562,3.893154,C,0
196,0.78936595,4.3039727,C,0
197,3.7371142,3.731115,C,0
198,3.921601,3.9861195,C,0
199,-2.742131,4.4965734,C,0
200,1.197994,4.4559536,C,0
201,-0.7488553,3.9875293,C,0
202,3.6708136,3.9729614,C,0
203,5.0476975,8.3322935,C,0
204,-0.86169374,4.4276814,C,0
205,1.2221488,4.65887,C,0
206,7.138718,10.071313,C,0
207,1.8544801,4.278045,C,0
208,3.777373,3.6573145,C,0
209,1.514698,4.0915275,C,0
210,-1.0349092,4.649471,C,0
211,0.38494235,3.891134,C,0
212,4.287598,3.861182,C,0
213,1.5546706,3.0691822,C,0
214,3.523755,4.2731137,C,0
215,-3.3757691,4.8855476,C,0
216,1.4012581,3.6796978,C,0
217,-2.6915836,4.5331407,C,0
218,1.6628269,4.3504024,C,0
219,0.5792293,3.9637823,C,0
220,5.865015,8.576027,C,0
221,-2.1943808,4.701449,C,0
222,0.9912847,4.5303144,C,0
223,-4.7202196,4.6627917,C,0
224,3.6331873,3.5617664,C,0
