,precision,recall,normalization
182,0.55995599559956,1.0,MMAD AUC 0.99
183,0.5602641717116126,1.0,MMAD AUC 0.99
184,0.5605726872246696,1.0,MMAD AUC 0.99
185,0.5608815426997246,1.0,MMAD AUC 0.99
186,0.5611907386990077,1.0,MMAD AUC 0.99
187,0.56150027578599,1.0,MMAD AUC 0.99
188,0.5618101545253863,1.0,MMAD AUC 0.99
189,0.5621203754831585,1.0,MMAD AUC 0.99
190,0.5624309392265193,1.0,MMAD AUC 0.99
191,0.5627418463239359,1.0,MMAD AUC 0.99
192,0.5630530973451328,1.0,MMAD AUC 0.99
193,0.5633646928610957,1.0,MMAD AUC 0.99
194,0.5636766334440753,1.0,MMAD AUC 0.99
195,0.56398891966759,1.0,MMAD AUC 0.99
196,0.5643015521064302,1.0,MMAD AUC 0.99
197,0.5646145313366612,1.0,MMAD AUC 0.99
198,0.564927857935627,1.0,MMAD AUC 0.99
199,0.5652415324819545,1.0,MMAD AUC 0.99
200,0.5655555555555556,1.0,MMAD AUC 0.99
201,0.565869927737632,1.0,MMAD AUC 0.99
202,0.5661846496106785,1.0,MMAD AUC 0.99
203,0.5664997217584864,1.0,MMAD AUC 0.99
204,0.566815144766147,1.0,MMAD AUC 0.99
205,0.5671309192200558,1.0,MMAD AUC 0.99
206,0.5674470457079153,1.0,MMAD AUC 0.99
207,0.5677635248187396,1.0,MMAD AUC 0.99
208,0.5680803571428571,1.0,MMAD AUC 0.99
209,0.5683975432719152,1.0,MMAD AUC 0.99
210,0.5687150837988827,1.0,MMAD AUC 0.99
211,0.5690329793180547,1.0,MMAD AUC 0.99
212,0.569351230425056,1.0,MMAD AUC 0.99
213,0.5696698377168439,1.0,MMAD AUC 0.99
214,0.5699888017917133,1.0,MMAD AUC 0.99
215,0.5703081232492997,1.0,MMAD AUC 0.99
216,0.570627802690583,1.0,MMAD AUC 0.99
217,0.5709478407178912,1.0,MMAD AUC 0.99
218,0.5712682379349046,1.0,MMAD AUC 0.99
219,0.5715889949466592,1.0,MMAD AUC 0.99
220,0.5719101123595506,1.0,MMAD AUC 0.99
221,0.5722315907813378,1.0,MMAD AUC 0.99
222,0.5725534308211474,1.0,MMAD AUC 0.99
223,0.5728756330894766,1.0,MMAD AUC 0.99
224,0.5731981981981982,1.0,MMAD AUC 0.99
225,0.5735211267605633,1.0,MMAD AUC 0.99
226,0.5738444193912063,1.0,MMAD AUC 0.99
227,0.5741680767061478,1.0,MMAD AUC 0.99
228,0.5744920993227991,1.0,MMAD AUC 0.99
229,0.5748164878599661,1.0,MMAD AUC 0.99
230,0.5751412429378531,1.0,MMAD AUC 0.99
231,0.5754663651780667,1.0,MMAD AUC 0.99
232,0.5757918552036199,1.0,MMAD AUC 0.99
233,0.576117713638936,1.0,MMAD AUC 0.99
234,0.5764439411098528,1.0,MMAD AUC 0.99
235,0.576770538243626,1.0,MMAD AUC 0.99
236,0.5770975056689343,1.0,MMAD AUC 0.99
237,0.577424844015882,1.0,MMAD AUC 0.99
238,0.5777525539160046,1.0,MMAD AUC 0.99
239,0.5780806360022714,1.0,MMAD AUC 0.99
240,0.5784090909090909,1.0,MMAD AUC 0.99
241,0.5787379192723138,1.0,MMAD AUC 0.99
242,0.5790671217292378,1.0,MMAD AUC 0.99
243,0.5793966989186112,1.0,MMAD AUC 0.99
244,0.5797266514806378,1.0,MMAD AUC 0.99
245,0.58005698005698,1.0,MMAD AUC 0.99
246,0.580387685290764,1.0,MMAD AUC 0.99
247,0.580718767826583,1.0,MMAD AUC 0.99
248,0.5810502283105022,1.0,MMAD AUC 0.99
249,0.5813820673900628,1.0,MMAD AUC 0.99
250,0.5817142857142857,1.0,MMAD AUC 0.99
251,0.5820468839336764,1.0,MMAD AUC 0.99
252,0.5823798627002288,1.0,MMAD AUC 0.99
253,0.5827132226674299,1.0,MMAD AUC 0.99
254,0.5830469644902635,1.0,MMAD AUC 0.99
255,0.5833810888252149,1.0,MMAD AUC 0.99
256,0.5837155963302753,1.0,MMAD AUC 0.99
257,0.5840504876649455,1.0,MMAD AUC 0.99
258,0.5843857634902411,1.0,MMAD AUC 0.99
259,0.5847214244686961,1.0,MMAD AUC 0.99
260,0.5850574712643678,1.0,MMAD AUC 0.99
261,0.5853939045428407,1.0,MMAD AUC 0.99
262,0.5857307249712314,1.0,MMAD AUC 0.99
263,0.5860679332181923,1.0,MMAD AUC 0.99
264,0.586405529953917,1.0,MMAD AUC 0.99
265,0.5867435158501441,1.0,MMAD AUC 0.99
266,0.5870818915801614,1.0,MMAD AUC 0.99
267,0.5874206578188114,1.0,MMAD AUC 0.99
268,0.5877598152424942,1.0,MMAD AUC 0.99
269,0.5880993645291739,1.0,MMAD AUC 0.99
270,0.5884393063583815,1.0,MMAD AUC 0.99
271,0.5887796414112204,1.0,MMAD AUC 0.99
272,0.5891203703703703,1.0,MMAD AUC 0.99
273,0.5894614939200926,1.0,MMAD AUC 0.99
274,0.589803012746234,1.0,MMAD AUC 0.99
275,0.5901449275362319,1.0,MMAD AUC 0.99
276,0.5904872389791184,1.0,MMAD AUC 0.99
277,0.5908299477655252,1.0,MMAD AUC 0.99
278,0.5911730545876888,1.0,MMAD AUC 0.99
279,0.5915165601394538,1.0,MMAD AUC 0.99
280,0.5918604651162791,1.0,MMAD AUC 0.99
281,0.5922047702152414,1.0,MMAD AUC 0.99
282,0.5925494761350407,1.0,MMAD AUC 0.99
283,0.5928945835760047,1.0,MMAD AUC 0.99
284,0.5932400932400932,1.0,MMAD AUC 0.99
285,0.5935860058309038,1.0,MMAD AUC 0.99
286,0.5939323220536756,1.0,MMAD AUC 0.99
287,0.5942790426152949,1.0,MMAD AUC 0.99
288,0.594626168224299,1.0,MMAD AUC 0.99
289,0.5949736995908825,1.0,MMAD AUC 0.99
290,0.5953216374269006,1.0,MMAD AUC 0.99
291,0.5956699824458748,1.0,MMAD AUC 0.99
292,0.5960187353629977,1.0,MMAD AUC 0.99
293,0.5963678968951377,1.0,MMAD AUC 0.99
294,0.5967174677608441,1.0,MMAD AUC 0.99
295,0.5970674486803519,1.0,MMAD AUC 0.99
296,0.5974178403755869,1.0,MMAD AUC 0.99
297,0.5977686435701702,1.0,MMAD AUC 0.99
298,0.5981198589894242,1.0,MMAD AUC 0.99
299,0.5984714873603763,1.0,MMAD AUC 0.99
300,0.5988235294117648,1.0,MMAD AUC 0.99
301,0.5991759858740435,1.0,MMAD AUC 0.99
302,0.5995288574793876,1.0,MMAD AUC 0.99
303,0.5998821449616971,1.0,MMAD AUC 0.99
304,0.6002358490566038,1.0,MMAD AUC 0.99
305,0.6005899705014749,1.0,MMAD AUC 0.99
306,0.6009445100354192,1.0,MMAD AUC 0.99
307,0.6012994683992912,1.0,MMAD AUC 0.99
308,0.6016548463356974,1.0,MMAD AUC 0.99
309,0.6020106445890006,1.0,MMAD AUC 0.99
310,0.6023668639053255,1.0,MMAD AUC 0.99
311,0.6027235050325637,1.0,MMAD AUC 0.99
312,0.6030805687203792,1.0,MMAD AUC 0.99
313,0.6034380557202134,1.0,MMAD AUC 0.99
314,0.6037959667852907,1.0,MMAD AUC 0.99
315,0.6041543026706232,1.0,MMAD AUC 0.99
316,0.6045130641330166,1.0,MMAD AUC 0.99
317,0.6048722519310754,1.0,MMAD AUC 0.99
318,0.6052318668252081,1.0,MMAD AUC 0.99
319,0.6055919095776323,1.0,MMAD AUC 0.99
320,0.6059523809523809,1.0,MMAD AUC 0.99
321,0.6063132817153067,1.0,MMAD AUC 0.99
322,0.6066746126340882,1.0,MMAD AUC 0.99
323,0.607036374478235,1.0,MMAD AUC 0.99
324,0.6073985680190931,1.0,MMAD AUC 0.99
325,0.6077611940298507,1.0,MMAD AUC 0.99
326,0.6081242532855436,1.0,MMAD AUC 0.99
327,0.6084877465630604,1.0,MMAD AUC 0.99
328,0.6088516746411483,1.0,MMAD AUC 0.99
329,0.6092160383004189,1.0,MMAD AUC 0.99
330,0.6095808383233533,1.0,MMAD AUC 0.99
331,0.609946075494308,1.0,MMAD AUC 0.99
332,0.6103117505995204,1.0,MMAD AUC 0.99
333,0.6106778644271146,1.0,MMAD AUC 0.99
334,0.6110444177671068,1.0,MMAD AUC 0.99
335,0.6114114114114114,1.0,MMAD AUC 0.99
336,0.6117788461538461,1.0,MMAD AUC 0.99
337,0.6121467227901383,1.0,MMAD AUC 0.99
338,0.6125150421179302,1.0,MMAD AUC 0.99
339,0.6128838049367851,1.0,MMAD AUC 0.99
340,0.6132530120481928,1.0,MMAD AUC 0.99
341,0.6136226642555757,1.0,MMAD AUC 0.99
342,0.6139927623642943,1.0,MMAD AUC 0.99
343,0.6143633071816536,1.0,MMAD AUC 0.99
344,0.6147342995169082,1.0,MMAD AUC 0.99
345,0.6151057401812688,1.0,MMAD AUC 0.99
346,0.6154776299879081,1.0,MMAD AUC 0.99
347,0.6158499697519662,1.0,MMAD AUC 0.99
348,0.6162227602905569,1.0,MMAD AUC 0.99
349,0.6165960024227741,1.0,MMAD AUC 0.99
350,0.616969696969697,1.0,MMAD AUC 0.99
351,0.6173438447543966,1.0,MMAD AUC 0.99
352,0.6177184466019418,1.0,MMAD AUC 0.99
353,0.6180935033394049,1.0,MMAD AUC 0.99
354,0.6184690157958688,1.0,MMAD AUC 0.99
355,0.6188449848024317,1.0,MMAD AUC 0.99
