,label,variable,value
268,hm5C,0,16.0
269,hm5C,0,30.0
270,hm5C,0,31.0
271,hm5C,0,10.0
272,hm5C,0,25.0
273,hm5C,0,15.0
274,hm5C,0,30.0
275,hm5C,0,5.0
276,hm5C,0,19.0
277,hm5C,0,33.0
278,hm5C,0,3.0
279,hm5C,0,4.0
280,hm5C,0,29.0
281,hm5C,0,4.0
282,hm5C,0,24.0
283,hm5C,0,0.0
284,hm5C,0,13.0
285,hm5C,0,9.0
286,hm5C,0,13.0
287,hm5C,0,24.0
288,hm5C,0,30.0
289,hm5C,0,1.0
290,hm5C,0,1.0
291,hm5C,0,22.0
292,hm5C,0,5.0
293,hm5C,0,21.0
294,hm5C,0,0.0
295,hm5C,0,9.0
296,hm5C,0,25.0
297,hm5C,0,19.0
298,hm5C,0,22.0
299,hm5C,0,0.0
300,hm5C,0,15.0
301,hm5C,0,3.0
302,hm5C,0,27.0
