,fpr,tpr,normalization
84,0.023421588594704685,0.9233791748526523,MMAD AUC 0.99
85,0.023421588594704685,0.925343811394892,MMAD AUC 0.99
86,0.025458248472505093,0.925343811394892,MMAD AUC 0.99
87,0.025458248472505093,0.9292730844793713,MMAD AUC 0.99
88,0.026476578411405296,0.9292730844793713,MMAD AUC 0.99
89,0.026476578411405296,0.9302554027504911,MMAD AUC 0.99
90,0.0274949083503055,0.9302554027504911,MMAD AUC 0.99
91,0.0274949083503055,0.9322200392927309,MMAD AUC 0.99
92,0.028513238289205704,0.9322200392927309,MMAD AUC 0.99
93,0.028513238289205704,0.9341846758349706,MMAD AUC 0.99
94,0.029531568228105907,0.9341846758349706,MMAD AUC 0.99
95,0.029531568228105907,0.9361493123772102,MMAD AUC 0.99
96,0.03054989816700611,0.9361493123772102,MMAD AUC 0.99
97,0.03054989816700611,0.9390962671905697,MMAD AUC 0.99
98,0.031568228105906315,0.9390962671905697,MMAD AUC 0.99
99,0.031568228105906315,0.9410609037328095,MMAD AUC 0.99
100,0.032586558044806514,0.9410609037328095,MMAD AUC 0.99
101,0.032586558044806514,0.9459724950884086,MMAD AUC 0.99
102,0.03360488798370672,0.9459724950884086,MMAD AUC 0.99
103,0.03360488798370672,0.9469548133595285,MMAD AUC 0.99
104,0.034623217922606926,0.9469548133595285,MMAD AUC 0.99
105,0.034623217922606926,0.9479371316306483,MMAD AUC 0.99
106,0.035641547861507125,0.9479371316306483,MMAD AUC 0.99
107,0.035641547861507125,0.949901768172888,MMAD AUC 0.99
108,0.038696537678207736,0.949901768172888,MMAD AUC 0.99
109,0.038696537678207736,0.9528487229862476,MMAD AUC 0.99
110,0.03971486761710794,0.9528487229862476,MMAD AUC 0.99
111,0.03971486761710794,0.9538310412573674,MMAD AUC 0.99
112,0.04073319755600815,0.9538310412573674,MMAD AUC 0.99
113,0.04073319755600815,0.9548133595284872,MMAD AUC 0.99
114,0.04175152749490835,0.9548133595284872,MMAD AUC 0.99
115,0.04175152749490835,0.9557956777996071,MMAD AUC 0.99
116,0.04276985743380855,0.9557956777996071,MMAD AUC 0.99
117,0.04276985743380855,0.9577603143418467,MMAD AUC 0.99
118,0.04480651731160896,0.9577603143418467,MMAD AUC 0.99
119,0.04480651731160896,0.9597249508840865,MMAD AUC 0.99
120,0.04684317718940937,0.9597249508840865,MMAD AUC 0.99
121,0.04684317718940937,0.9607072691552063,MMAD AUC 0.99
122,0.04786150712830957,0.9607072691552063,MMAD AUC 0.99
123,0.04786150712830957,0.9616895874263262,MMAD AUC 0.99
124,0.048879837067209775,0.9616895874263262,MMAD AUC 0.99
125,0.048879837067209775,0.962671905697446,MMAD AUC 0.99
126,0.051934826883910386,0.962671905697446,MMAD AUC 0.99
127,0.051934826883910386,0.9646365422396856,MMAD AUC 0.99
128,0.0539714867617108,0.9646365422396856,MMAD AUC 0.99
129,0.0539714867617108,0.9656188605108055,MMAD AUC 0.99
130,0.054989816700611,0.9656188605108055,MMAD AUC 0.99
131,0.054989816700611,0.9666011787819253,MMAD AUC 0.99
132,0.0560081466395112,0.9666011787819253,MMAD AUC 0.99
133,0.0560081466395112,0.9675834970530451,MMAD AUC 0.99
134,0.062118126272912425,0.9675834970530451,MMAD AUC 0.99
135,0.062118126272912425,0.9695481335952849,MMAD AUC 0.99
136,0.06313645621181263,0.9695481335952849,MMAD AUC 0.99
137,0.06313645621181263,0.9705304518664047,MMAD AUC 0.99
138,0.06415478615071284,0.9705304518664047,MMAD AUC 0.99
139,0.06415478615071284,0.9715127701375246,MMAD AUC 0.99
