,Umap1,Umap2,label,A
107,11.039528,7.615631,A,0
108,10.06489,8.493247,A,0
109,7.3807216,10.618319,A,0
110,9.991679,11.13187,A,0
111,8.444817,11.702296,A,0
112,9.524734,10.306753,A,0
113,9.863165,9.628034,A,0
114,8.754805,11.365255,A,0
115,5.962344,13.0526495,A,0
116,9.246121,10.067877,A,0
117,10.079131,10.9046135,A,0
118,11.082354,8.067273,A,0
119,5.9073997,13.340525,A,0
120,7.72811,11.758257,A,0
121,8.575387,10.187613,A,0
122,11.265459,7.811719,A,0
123,8.514447,9.056189,A,0
124,10.999381,8.030262,A,0
125,10.494893,10.382417,A,0
126,10.270845,9.012965,A,0
127,11.26051,7.878537,A,0
128,7.729739,11.925915,A,0
129,9.165082,10.134923,A,0
130,9.395084,10.291882,A,0
131,10.385131,8.081993,A,0
132,9.565118,11.19499,A,0
133,11.490685,6.8881493,A,0
134,7.747053,12.173942,A,0
135,11.3867445,7.2899847,A,0
136,10.638882,8.068353,A,0
137,8.27175,11.721556,A,0
138,6.097717,13.1605425,A,0
139,10.031125,8.561455,A,0
140,10.828328,8.693251,A,0
141,9.989261,10.410983,A,0
142,10.845261,8.030596,A,0
143,9.082875,10.339147,A,0
144,7.671173,12.440021,A,0
145,6.4103684,13.20222,A,0
146,9.897656,8.300768,A,0
147,11.395218,6.8979254,A,0
148,10.427997,10.19912,A,0
149,9.917678,11.119906,A,0
150,8.12276,12.209014,A,0
151,8.982249,9.901593,A,0
152,7.7935505,11.642112,A,0
153,9.025952,11.614146,A,0
154,9.246237,10.223604,A,0
155,10.75812,7.5302567,A,0
156,8.66734,10.606209,A,0
157,10.923477,8.552336,A,0
158,9.8513365,10.743793,A,0
159,9.045686,10.869856,A,0
160,10.58624,8.994435,A,0
161,9.353837,9.296124,A,0
162,9.647884,9.802045,A,0
163,9.862274,8.049063,A,0
164,8.607448,11.141419,A,0
165,8.641015,10.735364,A,0
166,10.162615,5.983329,A,0
167,10.189834,8.445557,A,0
168,10.219848,9.763272,A,0
169,10.493589,7.86818,A,0
170,8.404655,11.971326,A,0
171,9.079569,10.525617,A,0
172,8.188264,10.476372,A,0
173,8.098925,10.23278,A,0
174,10.228292,8.868471,A,0
175,11.658221,6.6346273,A,0
176,8.800927,11.405654,A,0
177,8.462696,11.795506,A,0
178,10.0805855,9.028645,A,0
179,10.307587,10.345821,A,0
180,8.346363,8.487419,A,0
181,9.762736,9.983092,A,0
182,10.370282,10.360935,A,0
183,7.612285,11.939218,A,0
184,9.15366,10.035187,A,0
185,9.227389,10.625903,A,0
186,9.439954,10.152709,A,0
187,10.362412,8.457493,A,0
188,6.2077103,10.747132,A,0
189,8.225585,10.5109215,A,0
190,9.825603,9.801248,A,0
191,9.365761,9.703433,A,0
192,8.71428,10.347508,A,0
193,7.1365905,12.173775,A,0
194,11.27321,6.7502313,A,0
195,11.983673,6.959292,A,0
196,7.688519,11.364037,A,0
